TV_Budget,Online_Budget,Radio_Budget,Redundant_Budget,Region,Sales
54.96714153011233,46.75224586668479,26.99677718293001,42.77828147856343,North,202.56164209871616
48.61735698828815,,24.623168414563843,41.13829622113215,South,160.89727317015542
56.47688538100692,40.98580558334812,20.29815184960087,38.15666796213685,South,177.80996789378767
65.23029856408026,53.87314656133592,16.76531611147213,50.70523158911478,North,140.75670775828374
,,,33.37699807922008,East,148.95200834129864
47.6586304305082,36.66552819311247,21.967426927108747,32.516460064564136,North,158.2710079710887
65.79212815507391,50.85652075134252,24.475966100138663,47.11601607861374,West,204.3266440083896
57.67434729152909,43.547505524183826,23.175859008409848,42.99251884155588,North,169.5466924432366
45.30525614065048,36.38976979635486,25.247763576596675,32.48552532395423,West,146.2715365998675
55.42560043585965,41.847629999454604,17.32382394219716,35.713808390167856,South,162.15587199850728
45.365823071875376,,26.586970328171628,35.60778737992978,East,146.17690976112002
45.34270246429743,36.123447643090536,20.987998023461998,32.27034055087429,South,160.36161925719858
52.41962271566034,41.21885403192905,30.376304363126327,32.75162953670807,West,200.5281764300282
,21.971067056612824,16.55406090955216,21.468803705252387,West,89.63421601741877
32.75082167486967,24.470343348190738,28.679819015826247,20.95265264146382,West,134.29067792018404
44.37712470759027,37.76787344354948,20.989553917313238,33.81001953458621,East,154.7428557080528
39.87168879665576,33.400102600197755,16.74290998192776,30.72405300131601,North,112.0733593961505
53.142473325952736,39.581312926366536,17.58057082972839,36.00418099328802,South,153.39827732467708
40.91975924478789,33.033804312117994,18.3982634590284,31.14932751518427,South,163.78218714196717
35.87696298664709,30.955731759433036,22.120829732009582,26.989185842350043,North,126.86625561258245
,46.71697430800832,22.6141774401775,43.07148847355965,South,183.7128899335384
47.74223699513465,39.82387017324753,17.131499980307105,35.32238980075494,East,136.2568725050246
50.67528204687924,38.55235436066586,19.878227038695087,36.174739886374276,South,165.627176550593
35.75251813786544,30.313810516071825,30.71135179305932,28.51316443249075,West,144.3651159657635
44.556172754748175,33.35516073417099,28.637715850503557,28.148767256664698,North,159.0201040741127
51.10922589709866,35.47273441568537,22.18161834837016,34.0974252064669,East,183.59711853399722
38.490064225776976,25.909424066972093,20.190017390841,22.24655477004679,North,153.2152522521461
